Name dist Lstar Aj Fbrg eFbrg Fpfg eFpfg Fbra eFbra L_acc_Fairlamb
hd163296 101.0 1.2300000190734863 0.0 216.0711669921875 20.30181312561035 81.28833770751953 17.058216094970703 291.1712646484375 33.182456970214844 0.34963226318359375
j162816.7 138.0 -0.009999999776482582 1.9500000476837158 0.9277352690696716 0.527344286441803 0.24276554584503174 0.6464035511016846 1.6503877639770508 1.5680913925170898 -1.9568848609924316
j162755.6 133.0 0.3700000047683716 0.3199999928474426 5.084290981292725 0.7626287341117859 1.1646158695220947 0.6002568602561951 6.215023994445801 1.7318896055221558 -1.3878118991851807
j162617.1 135.0 0.25999999046325684 0.9700000286102295 7.205821990966797 1.3343603610992432 1.1367850303649902 1.123921275138855 6.876019477844238 2.451914072036743 -1.0346168279647827
j162556.1 134.0 0.09000000357627869 0.8899999856948853 36.30860900878906 2.243828296661377 10.697625160217285 1.7756283283233643 27.567136764526367 3.4992926120758057 -0.14715155959129333
bptau 127.0 0.3700000047683716 0.06572314351797104 15.077309608459473 1.691642165184021 3.180403232574463 0.48044002056121826 15.246562957763672 0.9340623617172241 -0.8807681202888489
citau 160.0 1.0399999618530273 0.8544008731842041 25.693099975585938 1.5236555337905884 10.300851821899414 0.9491953253746033 25.135793685913086 1.4689652919769287 -0.14980068802833557
cwtau 131.0 0.4000000059604645 1.1830165386199951 22.985004425048828 2.076026678085327 10.76508617401123 1.8708951473236084 32.94507598876953 2.740907669067383 -0.3679887652397156
LkHa198 600.0 1.649999976158142 1.6430785655975342 66.0 6.0 28.0 4.0 85.0 6.0 2.0445308685302734
BD+61 558.0 2.0799999237060547 0.7229545712471008 154.0 14.0 57.0 8.0 185.0 18.0 2.243551015853882
Elias1a 135.0 0.4300000071525574 2.0045559406280518 125.0 16.0 nan nan 116.0 16.0 0.7983335852622986
Elias1b 131.0 0.4300000071525574 2.0045559406280518 56.0 7.0 56.0 3.0 163.0 8.0 0.31103256344795227
ABAur 156.0 1.649999976158142 0.21360021829605103 335.0 32.0 93.0 44.0 453.0 27.0 1.1339292526245117
V380Ori 379.0 1.7300000190734863 0.4929235577583313 164.0 16.0 62.0 14.0 150.0 17.0 1.7929327487945557
HD37490a 423.0 3.319999933242798 0.13144628703594208 1200.0 250.0 130.0 16.0 400.0 80.0 2.9630422592163086
HD37490b 423.0 3.319999933242798 0.13144628703594208 827.0 34.0 263.0 14.0 559.0 24.0 2.752863645553589
HD259431a 653.0 2.7200000286102295 0.4600619971752167 210.0 42.0 80.0 0.0 197.0 35.0 2.539783000946045
HD259431b 653.0 2.7200000286102295 0.4600619971752167 164.0 9.0 38.0 10.0 113.0 8.0 2.4001948833465576
RMon 800.0 2.2899999618530273 0.9201239943504333 102.0 11.0 48.0 24.0 333.0 39.0 2.46004056930542
HD53367 129.0 4.139999866485596 0.7558161020278931 116.0 10.0 23.0 7.0 130.0 9.0 0.4369039535522461
MWC297 375.0 3.700000047683716 2.727510452270508 4420.0 230.0 1560.0 140.0 6140.0 760.0 4.1201171875
HD200775 418.0 3.1700000762939453 0.5915082693099976 505.0 70.0 147.0 13.0 796.0 81.0 2.559661388397217
LkHa234 877.0 2.119999885559082 1.0187087059020996 55.0 18.0 16.0 7.0 52.0 7.0 2.2362473011016846
BD+46 425.0 2.450000047683716 0.5586466789245605 31.0 3.0 13.0 9.0 38.0 6.0 0.9958555698394775
MWC1080 1490.0 4.179999828338623 1.7745248079299927 463.0 19.0 168.0 16.0 440.0 48.0 4.199670791625977
